lemma,count
deus,490
homo,290
Christus,290
dico,288
sum,205
debeo,140
triplex,116
malus,110
dominus,108
comparo,106
in,102
peccatum,100
tres,98
ecclesia,96
bonus,86
siue,84
habeo,84
multiplex,80
sanctus,80
quatuor,66
caritas,62
et,61
peccator,56
anima,52
angelus,52
non,50
multus,50
diabolus,48
facio,48
spiritus,48
iudicium,48
dies,46
quidam,46
oratio,42
oro,42
mors,40
regnum,40
predicator,40
oculus,38
crux,38
panis,38
sacerdos,38
ieiunium,36
lex,36
penitentia,36
vel,36
uia,36
filius,36
de,35
apostolus,34
temporalis,34
oleum,34
mundus,34
opus,32
scriptura,32
uita,32
omnis,32
aqua,32
mandatum,32
nos,31
manus,30
ad,30
genus,30
humilitas,30
misericordia,30
elemosina,30
quis,28
uenio,28
iustus,28
os,28
quero,28
terra,28
do,26
cor,26
temptatio,26
ignis,26
tripliciter,26
Maria,26
celorum,26
gratia,26
pater,24
confessio,24
doceo,24
accipio,24
domus,24
gloria,24
corpus,24
nox,24
beatus,24
ascendo,24
desertum,24
alius,24
custodio,24
fides,24
mons,24
ab,23
pauper,22
puer,22
perfectus,22
religio,22
